make,model,location,color,price_in_Ksh,year_of_manufacture,transmission,mileage_in_km,fuel,foreign_local,review_score
toyota,vitz,Nairobi,blue,680000,2013,Automatic,26000,Other,Foreign,4.733333333333333
nissan,note,Nairobi,black,630000,2013,Automatic,91000,Petrol,Foreign,4.333333333333333
toyota,hilux,Nairobi,gold,1500000,2010,Manual,150000,Diesel,Local,4.2
toyota,vitz,Nairobi,yellow,620000,2012,Automatic,93000,Petrol,Foreign,4.733333333333333
toyota,ractis,Nairobi,Not-specified,520000,2010,Automatic,130000,Other,Local,3
toyota,wish,Nairobi,black,700000,2007,Automatic,120,Petrol,Local,3.6666666666666665
toyota,probox,Nairobi,Not-specified,780000,2013,Unknown,NA,Other,Foreign,4.555555555555555
mazda,demio,Mombasa,purple,680000,2013,Automatic,69000,Petrol,Foreign,3.7142857142857144
honda,insight,Nairobi,white,875000,2011,Automatic,96000,Petrol,Foreign,3.3333333333333335
mazda,demio,Nairobi,white,610000,2013,Automatic,85000,Petrol,Foreign,3.7142857142857144
mazda,cx-5,Nairobi,Not-specified,2500000,2016,Automatic,23000,Petrol,Local,3.3333333333333335
toyota,land,Nairobi,white,7200000,2018,Manual,4200,Diesel,Local,4.555555555555555
volkswagen,touran,Nairobi,white,1370000,2013,Automatic,42000,Petrol,Foreign,4
toyota,rav4,Nairobi,Not-specified,950000,2006,Automatic,263,Petrol,Local,4.5
nissan,march,Mombasa,silver,520000,2013,Automatic,91000,Petrol,Foreign,4.428571428571429
suzuki,escudo,Nairobi,black,1600000,2010,Automatic,167575,Petrol,Local,3.5
bmw,x1,Nairobi,red,1650000,2011,Automatic,136000,Petrol,Local,3.6666666666666665
nissan,caravan,Nairobi,white,1200000,2013,Manual,165000,Diesel,Local,4
nissan,note,Nairobi,silver,690000,2013,Automatic,97000,Petrol,Foreign,4.333333333333333
toyota,auris,Mombasa,pearl,850000,2010,Automatic,82000,Petrol,Local,4.333333333333333
toyota,passo,Nairobi,red,610000,2013,Automatic,42000,Petrol,Foreign,3
nissan,note,Nairobi,black,670000,2013,Automatic,47000,Petrol,Foreign,4.333333333333333
nissan,march,Nairobi,silver,560000,2013,Automatic,52000,Petrol,Foreign,3
toyota,rav4,Mombasa,black,3400000,2013,Automatic,72000,Petrol,Foreign,4.5
audi,q5,Nairobi,white,1900000,2009,Automatic,70000,Petrol,Local,3
toyota,rush,Nairobi,pearl,1410000,2013,Automatic,128000,Petrol,Foreign,3
